text,label
"QUYẾT ĐỊNH ban hành sổ tay sinh viên trường đại học cần thơ  GIỚI THIỆU VỀ ĐẠI HỌC CẦN THƠ đại học cần thơ ĐHCT, cơ sở đào tạo đại học và sau đại học trọng điểm của nhà nước ở đồng bằng sông cửu long ĐBSCL, là trung tâm văn hóa - khoa học kỹ thuật của vùng. trường đã không ngừng hoàn thiện và phát triển. hiện nay, trường đào tạo 101 chương trình đại học trong đó có chương trình đào tạo tiên tiến, chương trình đào tạo chất lượng cao, thạc sĩ và tiến sĩ. nhiệm vụ chính của trường là đào tạo, nghiên cứu khoa học NCKH, chuyển giao công nghệ phục vụ phát triển kinh tế - xã hội trong vùng. song song với công tác đào tạo, ĐHCT đã tham gia tích cực các chương trình NCKH, ứng dụng những thành tựu khoa học kỹ thuật nhằm giải quyết các vấn đề về khoa học, công nghệ, kinh tế, văn hóa và xã hội của vùng. từ những kết quả của các công trình NCKH và hợp tác quốc tế, trường đã tạo ra nhiều sản phẩm, quy trình công nghệ phục vụ sản xuất, đời sống và xuất khẩu, tạo được uy tín trên thị trường trong nước và quốc tế. TẦM NHÌN vision trường ĐHCT sẽ trở thành một trong những trường hàng đầu về chất lượng của việt nam và nằm trong nhóm các trường mạnh về đào tạo, NCKH trong khu vực châu Á - thái bình dương vào năm 2022. SỨ MỆNH mission sứ mệnh của trường ĐHCT là trung tâm đào tạo, NCKH, chuyển giao công nghệ hàng đầu của quốc gia, đóng góp hữu hiệu vào sự nghiệp đào tạo nguồn nhân lực chất lượng cao, bồi dưỡng nhân tài và phát triển khoa học phục vụ phát triển kinh tế - xã hội vùng và quốc gia. trường ĐHCT là nhân tố động lực có ảnh hưởng quyết định cho sự phát triển của vùng ĐBSCL. GIÁ TRỊ CỐT LÕI core values đồng thuận  tận tâm  chuẩn mực  sáng tạo. consensus - devotion  quality  innovation. CHÍNH SÁCH ĐẢM BẢO CHẤT LƯỢNG quality policy statement nhận thức tầm quan trọng của nhu cầu nguồn nhân lực chất lượng cao và sự cạnh tranh mạnh mẽ về chất lượng đào tạo trong bối cảnh phát triển mới của quốc gia và quốc tế, trường ĐHCT cam kết đảm bảo chất lượng thông qua thường xuyên đổi mới và hội nhập trong đào tạo sáng tạo và năng động trong nghiên cứu và chuyển giao công nghệ gắn lý thuyết với thực hành để trang bị đầy đủ kiến thức và kỹ năng cho người học khi ra trường đạt hiệu quả cao trong công việc, có năng lực lãnh đạo và thích ứng với thay đổi. trường cam kết xây dựng hệ thống quản trị hiệu quả, chuyên nghiệp, trách nhiệm, sáng tạo và luôn đổi mới. hoạt động quản lý của trường sẽ được quy trình hóa, tin học hóa, áp dụng các phương thức quản trị cập nhật và được giám sát, đánh giá thường xuyên.",__label__Khac
"SINH VIÊN CẦN BIẾT  A. công tác hỗ trợ sinh viên SV 1. phòng công tác sinh viên CTSV - https//dsa.ctu.edu.vn - chế độ miễn, giảm học phí - hỗ trợ chi phí học tập - trợ cấp xã hội - học bổng khuyến khích - tư vấn sức khỏe điện thoại 0292 3 872 115 - khen thưởng năm học, tốt nghiệp, khác - kỷ luật cấp trường - trợ cấp đột xuất - quản lý SV ký túc xá KTX nhận đăng ký xếp chỗ ghi, thu phí điện nước hàng tháng của SV KTX giám sát SV thực hiện nội quy, quy định, giữ gìn vệ sinh môi trường, an ninh trật tự trong khu vực KTX - hoạt động tự quản, phòng trọ của SV nội trú, ngoại trú xét khen thưởng cho SV có thành tích trong hoạt động tự quản - công tác bảo hiểm tai nạn, bảo hiểm y tế bắt buộc - tra cứu thời hạn BHYT https//baohiemxahoi.gov.vn/tracuu/pages/tra-cuu-thoi-han-su-dung-the-bhyt.aspx - công tác đánh giá điểm rèn luyện xem phần C - hỗ trợ đăng ký trực tuyến - xác nhận SV về địa phương vay vốn - tạm hoãn nghĩa vụ quân sự - điều chỉnh thông tin cá nhân - đăng ký nộp bản sao thẻ BHYT do địa phương cấp.",__label__Khac
"2. chính sách đặc thù dành cho SV trường ĐHCT 2.1 học bổng tài trợ - xem thông tin trên website của đơn vị quản lý ngành https//www.ctu.edu.vn/don-vi-truc-thuoc.html - website phòng CTSV. 2.2 giao lưu học tập ngắn hạn ở nước ngoài - xem thông tin trên website của đơn vị quản lý ngành https//www.ctu.edu.vn/don-vi-truc-thuoc.html - website phòng CTSV phòng hợp tác quốc tế. 2.3 các câu lạc bộ học thuật, đội nhóm sở thích tự nguyện - xem thông tin trên website của đơn vị quản lý ngành https//www.ctu.edu.vn/don-vi-truc-thuoc.html - website đoàn - hội sinh viên. 3. trung tâm tư vấn, hỗ trợ và khởi nghiệp SV - https//scs.ctu.edu.vn/ - hỗ trợ giới thiệu việc làm https//vieclam.ctu.edu.vn/ - đơn vị tổ chức hội chợ việc làm cấp trường - các học phần kỹ năng mềm. 4. cố vấn học tập CVHT - chức năng của CVHT quản lý, tư vấn, hỗ trợ SV, là cầu nối giữa nhà trường - gia đình - xã hội. - hướng dẫn SV phương pháp học tập, NCKH xây dựng kế hoạch học tập toàn khóa hướng dẫn SV đăng ký môn học từng học kỳ. - tổ chức cho SV - ban hành điểm rèn luyện - xét học bổng, khen thưởng, kỷ luật,... - sinh hoạt CVHT - tư vấn SV học tập, sinh hoạt, rèn luyện, nghề nghiệp. ngay khi SV vừa trúng tuyển vào trường, trên trang tân sinh viên sẽ đưa thông tin về CVHT được phân công hỗ trợ SV theo từng lớp học khóa biểu. 5. đơn vị quản lý đào tạo - đơn vị chịu trách nhiệm đào tạo các ngành theo sự phân công của trường. - là đơn vị hành chính đầu tiên của trường tiếp nhận và xử lý tất cả các yêu cầu của SV thuộc ngành học mà đơn vị chịu trách nhiệm quản lý đối với nhà trường. 6. phòng đào tạo - công tác tuyển sinh - chương trình đào tạo - lập kế hoạch học tập - đăng ký môn học đề nghị mở lớp học phần xóa học phần rút môn học... - cấp bảng điểm - công tác xét tốt nghiệp - cấp phát văn bằng và chứng chỉ - đăng ký học cùng lúc 02 chương trình đào tạo - quy định công tác học vụ.",__label__Khac
"B. các đơn vị có liên quan 1. phòng tài chính - phát tiền học bổng khuyến khích học tập - tạm ứng - thanh toán đề tài NCKH - theo dõi, xử lý lỗi kỹ thuật trong quá trình SV nộp học phí phí, lệ phí khác qua các tiện ích - tiền khen thưởng. 2. văn phòng đoàn thanh niên - công tác đoàn - hội sinh viên - hoạt động phong trào trong và ngoài trường. 3. trung tâm thông tin và quản trị mạng - xử lý lỗi kỹ thuật, mật khẩu của tài khoản và email SV. 4. phòng công tác chính trị - tổ chức lễ phát bằng tốt nghiệp - tổ chức các hội diễn văn nghệ truyền thống của trường - quản lý đội văn nghệ trường.",__label__Khac
"C. công tác đánh giá điểm rèn luyện trực tuyến 1. quy trình https//dsa.ctu.edu.vn/images/upload/vbanply/2018/drl/quytrinh_drl_tructuyen.pdf 2. hướng dẫn sử dụng phân hệ đánh giá điểm rèn luyện  nội dung đánh giá thông tư 16  mức điểm  đối tượng  ghi chú  ---------------------------------------------------------------  điều 4. đánh giá về ý thức tham gia học tập      1. các tiêu chí để xác định điểm đánh giá      a. Ý thức và thái độ trong học tập      - đi học đầy đủ, đúng giờ, nghiêm túc trong giờ học mỗi môn bị cấm thi trừ 03 điểm  6  giảng viên giảng dạy học phần GV  - chức năng nhập điểm học phần của phân hệ quản lý điểm. br - CB giảng dạy sẽ nhập điểm cho SV, nếu SV cấm thi sẽ nhập điểm cấm thi. br - hệ thống sẽ tự động tính điểm khi tổng hợp. b. Ý thức và thái độ tham gia các câu lạc bộ học thuật, các hoạt động học thuật, hoạt động ngoại khóa, hoạt động nghiên cứu khoa học      - nghiên cứu khoa học NCKH      có tham gia đề tài NCKH của SV hoặc của khoa và cấp tương đương, có xác nhận của chủ nhiệm đề tài không tính bài tập, tiểu luận, đồ án môn học, luận văn  5  trợ lý CTSV cấp khoa  - chức năng quản lý SV tham gia đề tài nghiên cứu khoa học. P.QLKH nhập liệu đối với các đề tài NCKH cấp trường. br - cán bộ cấp khoa và các cấp tương đương nhập liệu đối với các đề tài NCKH cấp khoa và các cấp tương đương. có giấy khen về NCKH  8  phòng CTSV  - chức năng tự điển khen thưởng, phân hệ quản lý sinh viên. br - khi P.CTSV nhập khen thưởng SV thì sẽ lấy MAX điểm đã định nghĩa đưa qua điểm rèn luyện. có bài báo trong và ngoài nước trong hoạt động NCKH  8  SV, phòng CTSV  - phân hệ sẽ bao gồm 02 chức năng br + SV tự kê khai và thêm file mềm minh chứng, P.CTSV sẽ kiểm tra lại. br + SV nộp bản cứng, P.CTSV duyệt và cập nhật lên phần mềm. - hoàn thành chứng chỉ ngoại ngữ, tin học    - hệ thống chỉ lấy điểm cao nhất trong các chứng chỉ của SV. ngoại ngữ không chuyên/chứng chỉ a/chuẩn khung châu âu  3  SV, CVHT  - chức năng br + quản lý nộp chứng chỉ, ngoại ngữ, tin học. br + kê khai chứng chỉ ngoại ngữ, tin học - SV tự chọn loại chứng chỉ và thêm hình ảnh đính kèm. br - CVHT xét duyệt. br - chỉ tính 01 chứng chỉ/lần trong toàn khóa học và trong 01 học kỳ thì lấy chứng chỉ được cộng điểm cao nhất. chứng chỉ b/chuẩn khung châu âu  5  SV, CVHT  - chức năng br + quản lý nộp chứng chỉ, ngoại ngữ, tin học. br + kê khai chứng chỉ ngoại ngữ, tin học - SV tự chọn loại chứng chỉ và thêm hình ảnh đính kèm. br - CVHT xét duyệt. br - chỉ tính 01 chứng chỉ/lần trong toàn khóa học và trong 01 học kỳ thì lấy chứng chỉ được cộng điểm cao nhất. chứng chỉ c/chuẩn khung châu âu  7  SV, CVHT  - chức năng br + quản lý nộp chứng chỉ, ngoại ngữ, tin học. br + kê khai chứng chỉ ngoại ngữ, tin học - SV tự chọn loại chứng chỉ và thêm hình ảnh đính kèm. br - CVHT xét duyệt. br - chỉ tính 01 chứng chỉ/lần trong toàn khóa học và trong 01 học kỳ thì lấy chứng chỉ được cộng điểm cao nhất. riêng chứng chỉ ngoại ngữ, chứng nhận TOEFL  500 điểm IELTS  5.0  10  SV, CVHT  - chức năng br + quản lý nộp chứng chỉ, ngoại ngữ, tin học. br + kê khai chứng chỉ ngoại ngữ, tin học - SV tự chọn loại chứng chỉ và thêm hình ảnh đính kèm. br - CVHT xét duyệt. br - chỉ tính 01 chứng chỉ/lần trong toàn khóa học và trong 01 học kỳ thì lấy chứng chỉ được cộng điểm cao nhất. tham gia các kỳ thi chuyên ngành, thi olympic... có tham gia kỳ thi  2  phòng CTSV, cán bộ đoàn  - chức năng quản lý SV tham gia các kỳ thi chuyên ngành, olympic. br - cấp khoa đoàn khoa cập nhật br - cấp trường đoàn TN chủ trì cập nhật br - ngoài trường P.CTSV cập nhật. br - đơn vị tổ chức chịu trách nhiệm cập nhật danh sách. đạt giải cấp trường  4  phòng CTSV, cán bộ đoàn  - chức năng quản lý SV tham gia các kỳ thi chuyên ngành, olympic. br - cấp khoa đoàn khoa cập nhật br - cấp trường đoàn TN chủ trì cập nhật br - ngoài trường P.CTSV cập nhật. br - đơn vị tổ chức chịu trách nhiệm cập nhật danh sách. đạt giải cấp cao hơn  7  phòng CTSV, cán bộ đoàn  - chức năng quản lý SV tham gia các kỳ thi chuyên ngành, olympic. br - cấp khoa đoàn khoa cập nhật br - cấp trường đoàn TN chủ trì cập nhật br - ngoài trường P.CTSV cập nhật. br - đơn vị tổ chức chịu trách nhiệm cập nhật danh sách. nội dung đánh giá thông tư 16  mức điểm  đối tượng  ghi chú  ---------------------------------------------------------------  c. Ý thức và thái độ tham gia các kỳ thi, cuộc thi      - không vi phạm quy chế về thi, kiểm tra mỗi lần vi phạm trừ 03 điểm  6  GV  - chức năng nhập điểm trong phân hệ quản lý điểm. br - CB giảng dạy sẽ nhập điểm cho sinh viên, nếu SV có vi phạm thì check vào cột vi phạm. br - hệ thống sẽ tự động tính điểm khi tổng hợp. d. tinh thần vượt khó, phấn đấu vươn lên trong học tập      có cố gắng, vượt khó trong học tập có ĐTB học kỳ sau lớn hơn học kỳ trước đó đối với SV năm thứ nhất, học kỳ I không có điểm dưới 4  2  phần mềm tự tính  - phần mềm dựa vào điểm TBHK của SV để thực hiện tính điểm rèn luyện. br + nếu ĐTBHK  3.6 thì được cộng 2 điểm br + trường hợp còn lại thì so sánh với học kỳ trước nếu ĐTBHK hơn 0.01 thì được cộng 2 điểm. đ. kết quả học tập      - kết quả học tập trong học kỳ      điểm trung bình chung học kỳ ĐTBCHK đạt  3.60  8  phần mềm tự tính  - dựa trên kết quả ĐTBCHK của SV để tính điểm rèn luyện. ĐTBCHK đạt từ 3.20 đến 3.59  6  phần mềm tự tính  - dựa trên kết quả ĐTBCHK của SV để tính điểm rèn luyện. ĐTBCHK đạt từ 2.50 đến 3.19  4  phần mềm tự tính  - dựa trên kết quả ĐTBCHK của SV để tính điểm rèn luyện. ĐTBCHK đạt từ 2.00 đến 2.49  2  phần mềm tự tính  - dựa trên kết quả ĐTBCHK của SV để tính điểm rèn luyện. 2. khung điểm đánh giá của điều 4  20  phần mềm tự tính  cộng gộp số điểm nếu lớn 20 thì lấy bằng 20. ",__label__Hoc_tap_ren_luyen
"nội dung đánh giá thông tư 16  mức điểm  đối tượng  ghi chú  ---------------------------------------------------------------  điều 5. đánh giá về ý thức và kết quả chấp hành nội quy, quy chế, quy định trong nhà trường      1. các tiêu chí để xác định điểm đánh giá      a. Ý thức chấp hành các văn bản chỉ đạo của ngành, của cơ quan chỉ đạo cấp trên được thực hiện trong nhà trường      - không vi phạm và có ý thức tham gia thực hiện nghiêm túc các quy định của lớp, nội quy, quy chế của trường, khoa và các tổ chức trong nhà trường mỗi lần vắng trừ 03 điểm  15  phòng CTSV, SV, CVHT  - chức năng tự điển kỷ luật của phân hệ quản lý sinh viên. br - mặc định số điểm cao nhất br - khi P.CTSV có nhập kỷ luật cho SV thì SV sẽ có tổng điểm trừ tùy vào mức trừ của các kỷ luật. br - SV và CVHT được quyền cập nhật lại điểm của SV nhưng không được lớn hơn điểm sau khi trừ. br ví dụ SV bị kỷ luật với mức trừ là 3 điểm, khi đó hệ thống tính điểm cho tiêu chí này là 12 điểm, thì SV và CVHT có quyền thay đổi điểm lại nhưng không lớn hơn 12 điểm. b. Ý thức chấp hành các nội quy, quy chế và các quy định khác được áp dụng trong nhà trường      SV có tích cực tham gia các hoạt động tuyên truyền, vận động mọi người xung quanh thực hiện nghiêm túc nội quy, quy chế, các quy định của nhà trường về       giữ gìn an ninh, trật tự nơi công cộng có xác nhận của đoàn khoa  10  đoàn khoa  - chức năng điểm các tiêu chí định tính. br - mặc định là được 0 điểm. br - đoàn khoa quyết định số điểm và chủ trì cập nhật điểm cho SV ở chức năng điểm các tiêu chí định tính. giữ gìn vệ sinh, bảo vệ cảnh quan môi trường, nếp sống văn minh có xác nhận của đoàn thể, khoa, trường... 10  đoàn trường  - chức năng điểm các tiêu chí định tính. br - mặc định là được 0 điểm. br - đoàn khoa quyết định số điểm và chủ trì cập nhật điểm cho SV ở chức năng điểm các tiêu chí định tính. khung điểm đánh giá của điều 5  25   cộng gộp số điểm nếu lớn 25 thì lấy bằng 25. ",__label__Hoc_tap_ren_luyen
"nội dung đánh giá thông tư 16  mức điểm  đối tượng  ghi chú  ---------------------------------------------------------------  điều 6. đánh giá về ý thức tham gia các hoạt động chính trị, xã hội, văn hóa, văn nghệ, thể thao, phòng chống tội phạm và các tệ nạn xã hội      1. các tiêu chí để xác định điểm đánh giá      tham gia đầy đủ các hoạt động chính trị, xã hội, văn hóa, văn nghệ, thể thao các cấp từ lớp, chi hội, chi đoàn trở lên tổ chức mỗi lần vắng trừ 02 điểm từ cấp đơn vị lớp trở lên  12  SV, CVHT  - chức năng quản lý SV không tham gia hoạt động. br - tối đa là 12 điểm. br - CVHT sẽ thực hiện nhập thông tin không tham gia hoạt động của sinh viên. br - nếu vắng thì sẽ bị trừ điểm tổng của các lần vắng. br - tương tự, SV và CVHT được quyền cập nhật lại điểm của SV nhưng không được lớn hơn điểm sau khi trừ. b. Ý thức tham gia các hoạt động công ích, tình nguyện, công tác xã hội      là lực lượng nòng cốt trong các phong trào văn hóa, văn nghệ, thể thao       cấp bộ môn, chi đoàn, chi hội, đội, nhóm  3  cán bộ đoàn  - chức năng QL SV là lực lượng nòng cốt trong các phong trào. br - CB. đoàn sẽ thực hiện nhập thông tin SV là lực lượng nòng cốt và điểm rèn luyện tương ứng. cấp khoa và tương đương, trường  5  cán bộ đoàn  - chức năng QL SV là lực lượng nòng cốt trong các phong trào. br - CB. đoàn sẽ thực hiện nhập thông tin SV là lực lượng nòng cốt và điểm rèn luyện tương ứng. c. tham gia tuyên truyền, phòng chống tội phạm và các tệ nạn xã hội      - được khen thưởng trong các hoạt động phong trào       quyết định khen thưởng của đoàn khoa và tương đương  6  cán bộ đoàn  - chức năng tự điển hình thức khen thưởng của phân hệ đoàn viên. br - CB. đoàn khoa nhập liệu, dựa vào dữ liệu khen thưởng đoàn viên. br - sau đó, chương trình sẽ lấy điểm đã định nghĩa đưa qua điểm rèn luyện. giấy khen cấp trường  8  phòng CTSV  - chức năng tự điển khen thưởng của phân hệ quản lý sinh viên. br - CB phòng CTSV nhập liệu, dựa vào dữ liệu khen thưởng sinh viên. br - sau đó, chương trình sẽ lấy điểm đã định nghĩa đưa qua điểm rèn luyện. giấy khen cấp cao hơn  10  phòng CTSV  - chức năng tự điển khen thưởng của phân hệ quản lý sinh viên. br - CB phòng CTSV nhập liệu, dựa vào dữ liệu khen thưởng sinh viên. br - sau đó, chương trình sẽ lấy điểm đã định nghĩa đưa qua điểm rèn luyện. khung điểm đánh giá của điều 6  20   cộng gộp số điểm nếu lớn 20 thì lấy bằng 20. ",__label__Hoc_tap_ren_luyen
"nội dung đánh giá thông tư 16  mức điểm  đối tượng  ghi chú  ---------------------------------------------------------------  điều 7. đánh giá về ý thức công dân trong quan hệ cộng đồng      1. các tiêu chí để xác định điểm đánh giá      a. Ý thức chấp hành và tham gia tuyên truyền các chủ trương của đảng, chính sách, pháp luật của nhà nước trong cộng đồng      - không vi phạm pháp luật của nhà nước nếu vi phạm pháp luật sẽ bị điểm 00 điểm không  10  phòng CTSV  - chức năng tự điển kỷ luật của phân hệ quản lý sinh viên. br - mặc định số điểm cao nhất br - CB P.CTSV sẽ nhập liệu cho sinh viên, nếu SV có vi phạm pháp luật thì check vào ô vi phạm pháp luật. br - hệ thống sẽ tự động tính điểm khi tổng hợp. nếu vi phạm pháp luật sẽ bị điểm 00 điểm không. tích cực tham gia tuyên truyền các chủ trương của đảng, chính sách, pháp luật của nhà nước trong cộng đồng  5  SV, CVHT  - mặc định là được 5 điểm. br - SV có thể tự cho điểm, nhưng không quá 5 điểm. br - CVHT quyết định số điểm và chủ trì cập nhật điểm cho sinh viên. b. Ý thức tham gia các hoạt động xã hội có thành tích được ghi nhận, biểu dương, khen thưởng      tham gia đội, nhóm sinh hoạt hướng đến lợi ích cộng đồng tham gia công tác xã hội ở trường, nơi cư trú, địa phương. mỗi đợt tham gia được cộng 02 điểm  10  cán bộ đoàn, phòng CTSV  - chức năng quản lý SV đạt thành tích. br - CB. đoàn và P.CTSV sẽ thực hiện nhập liệu thông tin thành tích và điểm thành tích của SV bao gồm thành tích tiêu biểu của đoàn và thành tích đặc biệt. c. có tinh thần chia sẻ, giúp đỡ người thân, người có khó khăn, hoạn nạn      có tinh thần giúp đỡ bạn bè trong học tập, trong cuộc sống  5  SV, CVHT  - mặc định là được 5 điểm. br - SV có thể tự cho điểm, nhưng không quá 5 điểm. br - CVHT quyết định số điểm và chủ trì cập nhật điểm cho sinh viên. khung điểm đánh giá của điều 7  25   cộng gộp số điểm nếu lớn 25 thì lấy bằng 25. ",__label__Hoc_tap_ren_luyen
"nội dung đánh giá thông tư 16  mức điểm  đối tượng  ghi chú  ---------------------------------------------------------------  điều 8. đánh giá về ý thức và kết quả khi tham gia công tác cán bộ lớp, các đoàn thể, tổ chức trong nhà trường hoặc người học đạt được thành tích đặc biệt      a. Ý thức, tinh thần thái độ, uy tín và hiệu quả công việc của người học được phân công nhiệm vụ quản lý lớp, các tổ chức đảng, đoàn thanh niên, hội SV và các tổ chức khác trong nhà trường      - lớp trưởng, bí thư chi đoàn, ủy viên BCH đoàn thể cấp cao hơn chi đoàn, BCH hội SV trường, liên chi hội trưởng, chi hội trưởng, đội trưởng các đội, nhóm, câu lạc bộ từ cấp khoa và tương đương  10  CVHT, cán bộ đoàn, phòng CTSV  - phân hệ gồm 02 chức năng quản lý ban cán sự lớp, quản lý chức vụ sinh viên. br + CVHT cập nhật danh sách ban cán sự lớp, SV giữ chức vụ. br + CB đoàn cập nhật danh sách các chức vụ đoàn các chức vụ bên đoàn thanh niên lấy dữ liệu từ phân hệ quản lý đoàn viên. br + CB QL. KTX các chức vụ liên quan đến KTX thì do KTX nhập liệu. br + ngoại trú P.CTSV nhập liệu.",__label__Hoc_tap_ren_luyen
"b. kỹ năng tổ chức, quản lý lớp, quản lý các tổ chức đảng, đoàn thanh niên, hội SV và các tổ chức khác trong nhà trường      - là thành viên của ban cán sự lớp, ban chấp hành chi đoàn, ban chấp hành liên chi hội SV, chi hội SV trường trừ các thành viên nêu mục trên, đội SV an ninh xung kích KTX, hội đồng tự quản KTX gồm chủ tịch và các trưởng nhóm chuyên môn, hội đồng tự quản ngoại trú, nhà trưởng KTX, cụm trưởng khu nhà trọ đã hoàn thành nhiệm vụ được giao  8  CVHT, cán bộ đoàn, phòng CTSV  - phân hệ gồm 02 chức năng quản lý ban cán sự lớp, quản lý chức vụ sinh viên. br + CVHT cập nhật danh sách ban cán sự lớp. br + CB đoàn cập nhật danh sách các chức vụ đoàn các chức vụ bên đoàn thanh niên lấy dữ liệu từ phân hệ quản lý đoàn viên. br + CB QL. KTX các chức vụ liên quan đến KTX thì do KTX nhập liệu. br + ngoại trú P.CTSV nhập liệu.",__label__Hoc_tap_ren_luyen
"c. hỗ trợ và tham gia tích cực vào các hoạt động chung của lớp, tập thể, khoa và nhà trường      tích cực tham gia hỗ trợ các hoạt động, phong trào của cấp khoa, sự kiện chung của nhà trường có xác nhận của đơn vị tổ chức sự kiện mỗi đợt tham gia được cộng 01 điểm  6  cán bộ đoàn, phòng CTSV  - chức năng quản lý SV đạt thành tích. br - CB. đoàn và P.CTSV sẽ thực hiện nhập liệu thông tin thành tích và điểm thành tích của SV bao gồm thành tích tiêu biểu của đoàn và thành tích đặc biệt. d. người học đạt được các thành tích đặc biệt trong học tập, rèn luyện      - được kết nạp đảng, hoặc được công nhận đoàn viên ưu tú  6  cán bộ đoàn, phòng CTSV  - chức năng quản lý SV đạt thành tích. br - CB. đoàn và P.CTSV sẽ thực hiện nhập liệu thông tin thành tích và điểm thành tích của SV bao gồm thành tích tiêu biểu của đoàn và thành tích đặc biệt. - đạt danh hiệu SV 5 tốt cấp trường trở lên  6  phòng CTSV  - CB. đoàn và P.CTSV sẽ thực hiện nhập liệu thông tin thành tích và điểm thành tích của SV bao gồm thành tích tiêu biểu của đoàn và thành tích đặc biệt. - phân loại đảng viên được xếp loại mức 2  5  phòng CTSV  - CB. đoàn và P.CTSV sẽ thực hiện nhập liệu thông tin thành tích và điểm thành tích của SV bao gồm thành tích tiêu biểu của đoàn và thành tích đặc biệt. 2. khung điểm đánh giá của điều 8  10   cộng gộp số điểm nếu lớn 10 thì lấy bằng 10. cộng các điều 4, 5, 6, 7, 8  100",__label__Hoc_tap_ren_luyen
